id,image_id,#日本語(原文),#やさしい日本語
4,580856,踏切の近くにワイナリーが開店している,道の近くに酒の店ができた。
13,133149,ビーチ近くの水際に鳥が羽を広げて停まっている,海の近くの水の上で鳥が羽を広げて止まっている。
19,269689,紺のユニフォームを来た男がバットを持ってバッターボックスに立っている,男が道具を持って打つ場所に立っている。
132,194184,外国の市場であまり水水しくなさそうなスイカ,市場に果物がある。
192,581206,遊園地の売店に売っていたホットドッグ,店で食べ物を売っている。
287,145009,動物園とは違っていっぱい餌があり喜んでいるキリンたち,首の長い動物が食べ物を食べている。
484,170048,フリスビー,丸い道具がある。
613,410428,草原にたくさんの羊がいてそのうち一匹が落書きされてる,草のある広い場所に動物がたくさんいて一つに絵がある。
816,169048,あぐらをかいて座る大人の男と子供の女,男と子供の女が床に座っている。
1050,238603,帽子をかぶった男性が凧上げをしている,帽子の男が風で玩具を空に上げている。
1080,260516,スターバックスで購入した食べ物と飲み物,食べ物と飲み物がある。
1182,271546,帽子をかぶった男がテニスをしている,帽子の男がテニスをしている。
1240,204188,トイレ専門の大きなショールームである,トイレの店である。
1307,187852,帽子をかぶった男がカメラで撮影している,帽子の男がカメラで写真をとっている。
1327,573258,隙間から板をつけて雪道を登っている男性,男が雪の道を上っている。
1348,138653,細かいところまで作られた野原や動物たちのオブジェクト,草や動物の小さな物がある。
1396,245440,川沿いの河川敷で凧上げが行われている,川のそばで人が玩具を空に上げる。
1400,101948,眼鏡をかけた男性がネクタイを締めている,眼鏡の男がネクタイをつけている。
1619,381173,二頭のキリンと一頭の子供のキリン,首の長い動物と子供の動物がいる。
1837,168683,ヘッドホンを付けた男性がパソコンをいじっている,耳にイヤホンをつけた男がコンピューターを使う。
1972,242007,猫を脚立に設置したカメラでとろうとしている,猫をカメラで写真をとる。
1974,81070,木にたくさんの風船が付けられている,木に空の物がたくさんついている。
2133,214492,壁に寄りかかっているネクタイをつけた2人の男性,ネクタイの男が二人いる。
2248,35940,コンクリートの壁に花のイラストが落書きされている,建物の壁に花の絵がある。
2386,14756,血塗られたバットを持つスモーカー,血のついた道具を持つ人がいる。
2424,556505,砂の上でその砂を鼻につけた黒い犬,黒い犬が砂を鼻につける。
2487,544322,白いパラソルを古い石の建造物,古い石の建物の近くに白い傘がある。
2548,503137,ベーコンとブロッコリーのペッパーサラダ,肉と野菜の食べ物がある。
2620,433547,若いカップルが黒い日傘をさしてベンチで休んでいる,男と女が黒い傘をさして椅子で休む。
2717,152740,草原に群がるバッファローの群れ,草のある場所に動物がたくさんいる。
2926,170739,耳に装飾品をつけた象がこちらを見ている,耳に飾る物をつけた動物がこちらを見ている。
2982,176031,40%-70%のセールを行っている,店で物を安い金で売る。
3152,581654,柵の中で黒い犬が羊たちを見ている,柵の中の黒い犬が動物を見ている。
3292,570714,向かい風の雨の中を黒い傘をさした女性が歩いている,雨の中で女が黒い傘をさして歩く。
3580,256250,2頭のキリンが湿原に立っている,動物が草のある場所に立っている。
3707,71920,紫の傘をさした女性が花屋の前に立っている,紫の傘をさした女性が花の店の前に立つ。
3810,545959,広大な場所で動物たちがくらしている,広い場所に動物がいる。
4017,231855,バイクに積んだ商品を女性が販売している,女がバイクの上の物を売る。
4024,204435,踏切の棒に踏切で危険を知らせるシールを貼っている,道の近くの長い物に注意の紙がある。
4064,298382,器具をつけた馬が並走している,道具をつけた動物が並んで走っている。
4190,153578,ボディーペイントのみの女性が笑っている,体に絵がある女が笑う。
4509,286708,白と黒の毛の長い猫がピンクの帽子をかぶっている,白と黒の猫がピンクの帽子をかぶる。
4694,574108,スキー板を履いた人が平地を歩いている,人が板をつけて歩く。
4882,339988,男性がマスクをつけてサーフボード台の前にいる,男が口の前に布をつけて板の前にいる。
4989,495687,スケートボードを踏んづけている,板を踏む。
5132,181058,たくさんの羊たちが一ヶ所にまとまっている,動物がたくさん集まっている。
5173,322610,女の人が日傘をさしてショーウィンドウの前で休んでいる,女の人が傘をさして店の前で休んでいる。
5476,563185,R2D2の絵が描かれたガラス板がトイレの横に貼られている,トイレの横に絵のあるガラスの板がある。
5582,261824,サンタクロースの帽子をかぶった犬,犬が赤い帽子をかぶる。
5646,573455,草原の中にたくさんの羊たちがいる,草原の中に動物がたくさんいる。
6101,153568,STOPの標識に白い紙が貼ってある,看板に白い紙がある。
6177,428554,スーツ姿の男性が蝶ネクタイを結んでいる,男がネクタイをしている。
6324,3590,傘をさしてないでこちらをみている男性がいる,傘をさしていない男がこちらを見ている。
6473,117286,スキー板をつけた3人の人が集まっている,板をつけた人が集まっている。
6946,219344,目が揃っていないボロボロなクマのぬいぐるみ,古い動物の人形がある。
7003,131938,青い猫柄のネクタイをつけた猫がこちらを睨んでいる,青いネクタイをつけた猫がこちらを見ている。
7196,118965,土の上におしりにスケボーをひいて座っている男性がいる,男が土の上で板に座る。
7610,290768,チェス柄の床のキッチンには生活感が漂っている,料理をする場所に生活感がある。
7887,10192,金髪の女性がキッチンでタバコを吸っている,女性が料理をする場所で口から煙を出す。
7941,102928,赤いネクタイをつけた小さい子が笑っている,赤いネクタイをつけた小さい子が笑っている。
7977,201825,ケーキにピンクの花が添えられている,食べ物にピンクの花がある。
8223,26201,大きな建物の前に自転車を押している少年が立っている,大きな建物の前で少年が車を押して立っている。
8407,442463,少年がヘルメットをかぶってスケボーの練習をしている,少年が帽子をかぶって板の練習をする。
8816,21060,デスクにBenQのモニターが乗っている,机に画面がある。
8833,232243,野球場でCRUZというバッターがネクストバッターボックスで待っている,野球の場所で打つ人が待つ。
8929,491106,ピンクのベルトを付けた女性が古い機関車を背にしている,ピンクの服の女性が古い列車の前に立つ。
8949,425472,赤い傘をさして座って海を見ている,赤い傘をさして座って海を見ている。
9015,505144,キャリーケースにタグが付けられている,かばんにマークがある。
9356,90724,スーパーのカートに野菜や果物が乗っている,店の車に野菜や果物がある。
9496,693,スケートボード売り場で少女スケートボードに乗っている,少女が板に乗る。
9503,414170,雪の積もった道をスキー板を履いて歩いている,雪の道を板で歩く。
9575,482574,売り物の果物は全て吊るす主義の八百屋,店に果物がある。
10014,342273,帽子をかぶった男性と眼鏡をかけた女性がこちらをむいている,帽子の男と眼鏡の女がこちらを見る。
10147,46418,密集しながら移動している山羊たち,動物が集まって動いている。
10566,32054,傘をさした女性達の前に白い犬がいる,傘の女性の前に白い犬がいる。
10650,413689,日傘をさした人が信号を待っている,日傘をさした人が信号を待っている。
11108,345361,三角帽子をかぶった子供が4人何かを食べている,帽子の子供がたくさん食べている。
11137,483897,青い帽子をかぶった人が馬に乗っている,青い帽子の人が動物に乗っている。
11187,495546,赤と白の傘をさして水際を人が歩いている,赤と白の傘をさして水のそばを人が歩いている。
11190,158035,ラケットにパンダのワンポイントをつけてテニスを練習している美少女,子供が道具を持ってテニスの練習をしている。
11283,265003,白い帽子をかぶった犬がカメラ目線でいる,白い帽子の犬がこちらを見ている。
11381,510616,ショートパンツの女性とキャップをかぶった男性がいて、カウンター奥にもう一人女性がいる,短いズボンの女と帽子の男がいて後ろに女がいる。
11669,350084,白いMACKと書かれた6つタイヤのある車が、停車している,白い大きな車が止まっている。
11683,345869,時計が付けられた細長い建物が立っている,長い建物に時計がついて立っている。
11908,491282,帽子をかぶった人が2人写っている,帽子の人が二人いる。
11946,237783,中央に写る人はサンバイザーをつけている,中央の人が頭に道具をつけている。
11991,98881,水着姿の女の子とスーツ姿の男の子とワンピース姿の女の子,子供がいる。
12062,307866,スーツ、蝶ネクタイを着用した男性が携帯電話を持っている,ネクタイの男が電話を持っている。
12217,277015,机の上にキーボード、USBメモリ、マウス、マグカップが置かれている,机の上に機械と道具とコップが置いてある。
12257,201190,白いキャップを被った女性が大きな犬を抱えている,白い帽子の女が大きな犬を持っている。
12565,471013,ホットドッグの上にかつおぶしがまぶしてある,パンの上に魚がある。
12595,496525,薄暗い部屋にテレビが付けたままで放置されている,暗い部屋にテレビがある。
12683,327306,ナイキの靴を履いた人がスケートボードに乗っている,靴の人が板に乗っている。
12697,445846,キッチンの扉に鎖と南京錠がつけられている,料理をする場所の扉に道具がついている。
12788,33441,男の子が荷物運搬用のキャリーを押している,男の子が荷物の車を押している。
13312,321214,子供がケーキを手づかみでほおばっている,子供が食べ物を手で食べている。
13362,368049,帽子をかぶった人がスノーボードをしている,帽子の人が雪の上で板で滑る。
13384,5247,帽子をかぶった老人がスキーをしている,帽子の人が雪の上で滑っている。
13717,479334,誰かがイタズラで標識に顔写真を貼っている,看板に人の写真がある。
13999,337274,赤いリボンを頭につけた犬が傘のそばに座っている,赤い布を頭につけた犬が傘のそばに座る。
14014,578088,耳にヘッドフォンをあてた猫が携帯電話を持っている,猫が耳にイヤホンをつけて電話を持っている。
14041,497568,飛行場にとまるアラスカ航空機,地に飛行の物が止まる。
14113,176634,シマウマが地面に口をつけている,動物が地に口をつけている。
14441,540264,女が男のネクタイを締めている,女が男のネクタイを締めている。
14616,32947,女が洗面台の前で後ろを振り返っている,女が水のある場所の前で後ろを見る。
14671,302260,犬がサンタの帽子をかぶっている,犬が赤い帽子をかぶる。
14681,226917,女の子がゾウの帽子をかぶっている,子供が大きい動物の帽子をかぶる。
14802,151051,赤いスキーウェアをきたスキーヤーが座るのように転けている,赤い服の人が雪の上で倒れる。
14804,230150,左の犬がサンタ帽を被っている,犬が赤い帽子をかぶる。
14857,65271,緑の服を着た女性が傘をさしている,緑の服を着た女性が傘をさしている。
15192,545826,黒い猫がゾウの帽子を被っている,黒い猫が大きい動物の帽子をかぶる。
15227,465422,ヘルメットを被った男性がスノーボードをしている,帽子の男が雪の上で板で滑る。
15259,67660,蝶ネクタイを着けた男性がバイオリンをひいている,男がネクタイをして道具を持っている。
15458,479078,黒い帽子をかぶった人が黒い馬に跨っている,黒い帽子の人が黒い馬に乗る。
15648,132615,赤いヘルメットを被った野球選手がボールを打ち返そうとしている,赤い帽子の野球の選手がボールを打つ。
15653,356091,建物につけられた街頭に文字がかかれた旗が下がっている,建物の前に文字の布がある。
15664,137028,グレーの犬が赤いバッグと靴を履いている,犬に赤い物と靴がある。
15698,154419,エリザベスカラーをつけた犬がテレビを見ている,犬が首に道具をつけてテレビを見る。
15797,146334,赤い蝶ネクタイを付けた犬がこちらを見つめている,赤いネクタイの犬がこちらを見る。
15875,121381,黒いパーカーのフードを被った子供がパンを食べている,黒い服の子供がパンを食べる。
15878,279674,小さな子供がエプロンをつけている,小さな子供が料理の服を着る。
15942,206560,ニット帽をかぶった人がカメラを構えている,帽子の人がカメラを持っている。
15987,544246,クマの形をしたケーキの真ん中にBABY!と書かれている,動物の形のケーキに文字がある。
15998,212545,帽子をかぶった少女が犬を抱いている,帽子の子供が犬を持っている。
16192,392183,傘をさした女性がスマートフォンを見ている,傘の女性が電話を見る。
16214,246442,傘をさした女性が下を見ている,傘をさした女性が下を見ている。
16287,285106,黒い傘をさした人が歩いている,黒い傘をさした人が歩いている。
16391,454195,ゾウが三頭足を水につけている,大きい動物が足を水につける。
16464,74124,男性がネクタイをつけてもらっている,男がネクタイをつけてもらう。
16629,301380,きれいな広場にたくさんの動物たちがいる,きれいな場所に動物がたくさんいる。
16746,25864,赤い帽子をかぶってキックボードに乗っている人がいる,赤い帽子の人が足で動かす車に乗る。
16750,254167,大きなはさみをもつ鼻にチューブをさした人がいる,大きな切る道具を持つ人が鼻に物をつける。
16891,372252,シマウマが地面に口をつけている,白と黒の動物が地に口をつけている。
16951,402250,黒い帽子をかぶった人が馬に乗っている,黒い帽子をかぶった人が馬に乗っている。
16961,38721,女性が赤い角付きのカチューシャを付けている,女が頭に赤い角の物をつける。
17003,169273,壁に四角形の時計が付けられている,壁に角のある時計が付く。
17060,527086,サングラスを頭にのせた人がいる,眼鏡を頭につける人がいる。
17222,227845,キリンがこちらを見つめて、様子を伺っている,首が長い動物がこちらを見る。
17397,180925,足に鎖を付けられた人が乗れる象,足にロープがある大きい動物に人が乗る。
17490,257275,スキー板を履いた男性が水上を走っている,男が板で水の上を走る。
17565,345960,裸足の女性がキッチンを掃除している,女性が料理をする場所を掃除する。
17604,208347,女性がテレビに向かってwiiリモコンを振っている,女性がテレビに向かって道具を振っている。
17605,240655,赤いウェアーを着た男性はヘルメットをかぶっている,赤い服の男が帽子をかぶる。
17619,6471,バッターボックスで構える白いユニフォームの選手,白い服の選手が打つ場所に立つ。
